Date (UTC-7:00),Token,Type,Price (USD),Amount,Total value (USD),Fee,Fee Currency,Notes
"2025-02-15 15:40:00","ETH","buy","2,691.58","1,000,000.00","2,691,580,000.00","--","",""
"2025-02-15 15:40:00","BCH","buy","331.83","100,000.00","33,183,000.00","--","",""
"2025-02-13 15:30:00","CRO","buy","0.091","100,000.00","9,100.00","10.00","USD",""
"2025-02-13 15:25:00","BNB","buy","673.16","10,000.00","6,731,600.00","10.00","USD",""
"2025-02-13 15:25:00","CRO","buy","0.091","10,000.00","910.00","10.00","USD",""
"2025-02-13 15:25:00","ETH","buy","2,672.91","100,000.00","267,291,000.00","10.00","USD",""
"2025-02-13 15:25:00","AVAX","buy","25.48","100,000.00","2,548,000.00","10.00","USD",""
"2025-02-13 15:25:00","AVAX","buy","25.48","100,000.00","2,548,000.00","10.00","USD",""
"2025-02-11 23:20:00","TON","buy","3.7239","10,000.00","37,239.00","10.00","USD",""
"2025-02-11 23:20:00","BCH","buy","330.51","10,000.00","3,305,100.00","--","",""
"2025-02-11 23:20:00","AVAX","buy","25.15","1,000,000.00","25,150,000.00","100.00","USD",""
"2025-02-11 23:20:00","ETH","buy","2,608.98","10,000.00","26,089,800.00","10.00","USD",""
"2025-02-11 23:20:00","BTC","buy","95,771.07","10,000.00","957,710,700.00","10.00","USD",""
"2025-02-11 23:20:00","AVAX","buy","25.15","1,000,000.00","25,150,000.00","10.00","USD",""
"2025-02-11 23:15:00","BCH","buy","330.14","1,000,000.00","330,140,000.00","10.00","USD",""
"2025-02-11 01:35:00","SHIB","buy","0.00001638","10,000.00","0.1638","10.00","USD",""
"2025-02-10 20:15:00","BCH","buy","332.03","100,000.00","33,203,000.00","10.00","USD",""
"2025-02-10 12:55:00","BCH","buy","330.39","1,000,000.00","330,390,000.00","10.00","USD",""
"2025-02-10 12:55:00","TON","buy","3.8306","1,000.00","3,830.60","8.0000","USD",""
"2025-02-10 12:55:00","ETH","buy","2,670.28","1,000.00","2,670,280.00","8.0000","USD",""
"2025-02-10 12:55:00","BCH","buy","330.61","10,000.00","3,306,100.00","10.00","USD",""
"2025-02-10 12:50:00","BCH","buy","330.61","100,000.00","33,061,000.00","10.00","USD",""
"2025-02-10 01:50:00","BCH","buy","333.45","10,000.00","3,334,500.00","--","",""
"2025-02-09 09:30:00","BCH","buy","328.54","10,000.00","3,285,400.00","10.00","USD",""
"2025-02-09 09:30:00","VIRTUAL","buy","1.1449","100,000.00","114,490.00","--","",""
"2025-02-09 03:45:00","BCH","buy","326.63","1,000,000.00","326,630,000.00","--","",""
"2025-02-08 21:20:00","BCH","buy","322.00","100,000.00","32,200,000.00","10,000.00","USD",""
"2025-02-08 21:20:00","AVAX","buy","24.97","100,000.00","2,497,000.00","1,000.00","USD",""
"2025-02-08 01:15:00","LINK","buy","19.37","100,000.00","1,937,000.00","--","",""
"2025-02-08 01:15:00","LINK","buy","19.37","100,000.00","1,937,000.00","--","",""
"2025-02-08 01:15:00","LINK","buy","19.37","100,000.00","1,937,000.00","--","",""
"2025-02-08 01:10:00","BTC","buy","95.00","1,000,000.00","95,000,000.00","--","",""
"2025-02-08 01:10:00","AVAX","buy","24.10","10,000,000.00","241,000,000.00","--","",""
"2025-02-08 01:10:00","AVAX","buy","3.1000","1,000,000.00","3,100,000.00","1,000.00","USD",""
"2025-02-07 00:05:00","ETH","buy","2,697.70","100,000.00","269,770,000.00","1,000.00","USD",""
"2025-02-07 00:05:00","SHIBA","buy","0.000000000131","1,000,000.00","0.000131","1,000.00","USD",""
"2025-02-07 00:00:00","BCH","buy","318.48","1,000.00","318,480.00","--","",""
"2025-02-07 00:00:00","AVAX","buy","24.65","1,000,000.00","24,650,000.00","--","",""
"2025-02-07 00:00:00","AVAX","buy","24.65","100,000.00","2,465,000.00","1,000.00","USD",""
"2025-02-07 00:00:00","BCH","buy","318.48","1,000,000.00","318,480,000.00","10,000.00","USD",""
"2025-02-05 20:35:00","AVAX","buy","26.11","10,000,000.00","261,133,228.89","--","",""
"2025-02-05 20:20:00","SHIB","buy","0.00001582","100,000.00","1.5825","--","",""
"2025-02-05 20:20:00","UNI","buy","9.3151","1,000.00","9,315.08","--","",""
"2025-02-05 20:20:00","LINK","buy","19.37","1,000,000.00","19,369,784.25","10,000.00","CAD",""
"2025-02-05 20:20:00","DOGE","buy","0.2582","100,000.00","25,829.73","10,000.00","CAD",""
"2025-02-05 20:15:00","BCH","buy","327.91","100,000.00","32,791,000.00","10,000.00","USD",""
"2025-02-05 20:15:00","BCH","buy","327.91","100,000.00","32,791,000.00","10,000.00","USD",""
"2025-02-03 00:40:00","BCH","transferIn","--","1,000.00","--","--","",""
"2025-02-03 00:40:00","BCH","buy","315.77","1,000,000.00","315,769,854.77","--","",""
"2025-02-02 06:15:00","AVAX","buy","30.58","10,000,000.00","305,800,000.00","10,000.00","USD",""
"2025-02-02 06:15:00","AVAX","buy","30.58","1,000,000.00","30,580,000.00","10,000.00","USD",""
"2025-02-02 06:15:00","AVAX","buy","30.58","10,000.00","305,800.00","100.00","USD",""
"2025-01-29 00:35:00","WTRX","transferIn","--","100,000.00","--","--","",""
"2025-01-29 00:35:00","BCH","transferIn","--","100,000.00","--","100,000.00","USD",""
"2025-01-29 00:35:00","BCH","buy","416.57","100,000.00","41,657,000.00","1,000.00","USD",""
"2025-01-27 18:15:00","BTC","buy","101,826.44","10,000.00","1,018,264,392.88","--","",""
"2025-01-27 14:50:00","BCH","buy","422.17","1,000,000.00","422,170,000.00","10,000.00","USD",""
"2025-01-21 01:20:00","BTC","transferIn","--","10,000.00","--","--","",""
"2025-01-17 21:05:00","CRO","transferIn","--","10,000,000.00","--","--","",""
"2025-01-14 00:15:00","WTRX","buy","0.2233","1,000.00","223.30","100.00","USD",""
"2025-01-13 22:10:00","BNB","buy","690.06","100,000.00","69,006,000.00","--","",""
"2025-01-13 00:35:00","BNB","buy","681.91","1,000,000.00","681,910,000.00","1,000.00","USD",""
"2025-01-13 00:35:00","BTC","buy","93,647.74","100,000.00","9,364,774,000.00","1,000.00","USD",""
